"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.1,211.880215065528,459.146750902364,494.291038168674,492.15765402689,0.94,1,100,3,"lognorm"
0.125,226.658623991717,459.146750902364,494.291038168674,492.15765402689,0.91,1,100,3,"lognorm"
0.15,240.229719733318,459.146750902364,494.291038168674,492.15765402689,0.84,1,100,3,"lognorm"
0.175,252.128495355454,459.146750902364,494.291038168674,492.15765402689,0.82,1,100,3,"lognorm"
0.2,263.105427081737,459.146750902364,494.291038168674,492.15765402689,0.81,1,100,3,"lognorm"
0.225,274.636162266976,459.146750902364,494.291038168674,492.15765402689,0.77,1,100,3,"lognorm"
0.25,286.026619792226,459.146750902364,494.291038168674,492.15765402689,0.76,0.99,100,3,"lognorm"
0.275,297.256816866007,459.146750902364,494.291038168674,492.15765402689,0.74,0.99,100,3,"lognorm"
0.3,308.060644766795,459.146750902364,494.291038168674,492.15765402689,0.72,0.98,100,3,"lognorm"
0.325,316.473161678108,459.146750902364,494.291038168674,492.15765402689,0.71,0.98,100,3,"lognorm"
0.35,327.505575428883,459.146750902364,494.291038168674,492.15765402689,0.67,0.97,100,3,"lognorm"
0.375,339.206276492618,459.146750902364,494.291038168674,492.15765402689,0.66,0.96,100,3,"lognorm"
0.4,351.377462704193,459.146750902364,494.291038168674,492.15765402689,0.64,0.96,100,3,"lognorm"
0.425,362.49327594377,459.146750902364,494.291038168674,492.15765402689,0.61,0.95,100,3,"lognorm"
0.45,374.623953860834,459.146750902364,494.291038168674,492.15765402689,0.58,0.95,100,3,"lognorm"
0.475,386.933283665923,459.146750902364,494.291038168674,492.15765402689,0.55,0.94,100,3,"lognorm"
0.5,398.541813707042,459.146750902364,494.291038168674,492.15765402689,0.54,0.91,100,3,"lognorm"
0.525,411.655281513087,459.146750902364,494.291038168674,492.15765402689,0.53,0.88,100,3,"lognorm"
0.55,425.230698668214,459.146750902364,494.291038168674,492.15765402689,0.53,0.87,100,3,"lognorm"
