"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.1,209.902126804812,417.543355602918,440.520421062288,426.069268760108,0.93,0.99,100,3,"lognorm"
0.125,225.701280371316,417.543355602918,440.520421062288,426.069268760108,0.9,0.99,100,3,"lognorm"
0.15,239.715572110357,417.543355602918,440.520421062288,426.069268760108,0.88,0.99,100,3,"lognorm"
0.175,251.508181964516,417.543355602918,440.520421062288,426.069268760108,0.84,0.99,100,3,"lognorm"
0.2,263.933505325469,417.543355602918,440.520421062288,426.069268760108,0.82,0.99,100,3,"lognorm"
0.225,275.608113217476,417.543355602918,440.520421062288,426.069268760108,0.81,0.99,100,3,"lognorm"
0.25,287.872546496211,417.543355602918,440.520421062288,426.069268760108,0.79,0.99,100,3,"lognorm"
0.275,300.032207139707,417.543355602918,440.520421062288,426.069268760108,0.75,0.98,100,3,"lognorm"
0.3,313.481271019241,417.543355602918,440.520421062288,426.069268760108,0.73,0.97,100,3,"lognorm"
0.325,323.470090494941,417.543355602918,440.520421062288,426.069268760108,0.73,0.96,100,3,"lognorm"
0.35,334.618797949336,417.543355602918,440.520421062288,426.069268760108,0.69,0.95,100,3,"lognorm"
0.375,346.254857557598,417.543355602918,440.520421062288,426.069268760108,0.66,0.94,100,3,"lognorm"
0.4,358.271781943312,417.543355602918,440.520421062288,426.069268760108,0.62,0.92,100,3,"lognorm"
0.425,371.141229652012,417.543355602918,440.520421062288,426.069268760108,0.59,0.91,100,3,"lognorm"
0.45,382.361374118383,417.543355602918,440.520421062288,426.069268760108,0.57,0.9,100,3,"lognorm"
0.475,394.307765077816,417.543355602918,440.520421062288,426.069268760108,0.52,0.87,100,3,"lognorm"
0.5,407.081527334966,417.543355602918,440.520421062288,426.069268760108,0.5,0.82,100,3,"lognorm"
0.525,419.586437475135,417.543355602918,440.520421062288,426.069268760108,0.5,0.73,100,3,"lognorm"
0.55,433.837088662554,417.543355602918,440.520421062288,426.069268760108,0.48,0.31,100,3,"lognorm"
0.575,448.170634092189,417.543355602918,440.520421062288,426.069268760108,0.47,0.16,100,3,"lognorm"
