"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.1,212.174976018983,392.742128452712,460.7974132056,456.987902961041,0.893,0.997,1000,10,"lognorm"
0.125,226.209690974297,392.742128452712,460.7974132056,456.987902961041,0.864,0.996,1000,10,"lognorm"
0.15,240.02010691149,392.742128452712,460.7974132056,456.987902961041,0.842,0.994,1000,10,"lognorm"
0.175,252.89186496701,392.742128452712,460.7974132056,456.987902961041,0.826,0.991,1000,10,"lognorm"
0.2,264.442361235886,392.742128452712,460.7974132056,456.987902961041,0.802,0.99,1000,10,"lognorm"
0.225,277.672298822049,392.742128452712,460.7974132056,456.987902961041,0.776,0.988,1000,10,"lognorm"
0.25,288.096964883889,392.742128452712,460.7974132056,456.987902961041,0.747,0.988,1000,10,"lognorm"
0.275,299.677280075402,392.742128452712,460.7974132056,456.987902961041,0.718,0.987,1000,10,"lognorm"
0.3,311.33354887476,392.742128452712,460.7974132056,456.987902961041,0.69,0.985,1000,10,"lognorm"
0.325,323.017454973467,392.742128452712,460.7974132056,456.987902961041,0.664,0.984,1000,10,"lognorm"
0.35,335.569342299749,392.742128452712,460.7974132056,456.987902961041,0.629,0.983,1000,10,"lognorm"
0.375,346.065653398334,392.742128452712,460.7974132056,456.987902961041,0.608,0.981,1000,10,"lognorm"
0.4,357.287354040076,392.742128452712,460.7974132056,456.987902961041,0.582,0.975,1000,10,"lognorm"
0.425,368.413672965098,392.742128452712,460.7974132056,456.987902961041,0.558,0.97,1000,10,"lognorm"
0.45,380.092793346818,392.742128452712,460.7974132056,456.987902961041,0.53,0.962,1000,10,"lognorm"
0.475,392.564519289872,392.742128452712,460.7974132056,456.987902961041,0.501,0.958,1000,10,"lognorm"
0.5,404.406436784435,392.742128452712,460.7974132056,456.987902961041,0.482,0.947,1000,10,"lognorm"
0.525,417.634026501138,392.742128452712,460.7974132056,456.987902961041,0.462,0.925,1000,10,"lognorm"
0.55,431.056239238456,392.742128452712,460.7974132056,456.987902961041,0.445,0.904,1000,10,"lognorm"
0.575,445.552045719882,392.742128452712,460.7974132056,456.987902961041,0.431,0.875,1000,10,"lognorm"
0.6,459.785421908877,392.742128452712,460.7974132056,456.987902961041,0.405,0.142,1000,10,"lognorm"
0.625,475.085494664714,392.742128452712,460.7974132056,456.987902961041,0.381,0.082,1000,10,"lognorm"
0.65,490.940859228834,392.742128452712,460.7974132056,456.987902961041,0.359,0.064,1000,10,"lognorm"
0.675,508.940651528126,392.742128452712,460.7974132056,456.987902961041,0.336,0.045,1000,10,"lognorm"
0.7,528.411058458002,392.742128452712,460.7974132056,456.987902961041,0.314,0.038,1000,10,"lognorm"
0.725,545.39420353935,392.742128452712,460.7974132056,456.987902961041,0.297,0.031,1000,10,"lognorm"
0.75,567.456645071313,392.742128452712,460.7974132056,456.987902961041,0.262,0.027,1000,10,"lognorm"
0.775,591.142219476201,392.742128452712,460.7974132056,456.987902961041,0.244,0.017,1000,10,"lognorm"
0.8,618.397003519279,392.742128452712,460.7974132056,456.987902961041,0.216,0.013,1000,10,"lognorm"
0.825,644.915792652214,392.742128452712,460.7974132056,456.987902961041,0.18,0.01,1000,10,"lognorm"
0.85,682.620675459037,392.742128452712,460.7974132056,456.987902961041,0.157,0.007,1000,10,"lognorm"
0.875,716.068668016437,392.742128452712,460.7974132056,456.987902961041,0.13,0.007,1000,10,"lognorm"
0.9,763.283022678979,392.742128452712,460.7974132056,456.987902961041,0.107,0.005,1000,10,"lognorm"
0.1,212.174976018983,405.670779780204,463.313260682172,455.074197645408,0.899,0.999,1000,10,"lognorm"
0.125,226.209690974297,405.670779780204,463.313260682172,455.074197645408,0.874,0.999,1000,10,"lognorm"
0.15,240.02010691149,405.670779780204,463.313260682172,455.074197645408,0.835,0.997,1000,10,"lognorm"
0.175,252.89186496701,405.670779780204,463.313260682172,455.074197645408,0.811,0.996,1000,10,"lognorm"
0.2,264.442361235886,405.670779780204,463.313260682172,455.074197645408,0.795,0.996,1000,10,"lognorm"
0.225,277.672298822049,405.670779780204,463.313260682172,455.074197645408,0.773,0.993,1000,10,"lognorm"
0.25,288.096964883889,405.670779780204,463.313260682172,455.074197645408,0.747,0.991,1000,10,"lognorm"
0.275,299.677280075402,405.670779780204,463.313260682172,455.074197645408,0.72,0.99,1000,10,"lognorm"
0.3,311.33354887476,405.670779780204,463.313260682172,455.074197645408,0.692,0.988,1000,10,"lognorm"
0.325,323.017454973467,405.670779780204,463.313260682172,455.074197645408,0.66,0.986,1000,10,"lognorm"
0.35,335.569342299749,405.670779780204,463.313260682172,455.074197645408,0.632,0.982,1000,10,"lognorm"
0.375,346.065653398334,405.670779780204,463.313260682172,455.074197645408,0.612,0.98,1000,10,"lognorm"
0.4,357.287354040076,405.670779780204,463.313260682172,455.074197645408,0.597,0.977,1000,10,"lognorm"
0.425,368.413672965098,405.670779780204,463.313260682172,455.074197645408,0.574,0.973,1000,10,"lognorm"
0.45,380.092793346818,405.670779780204,463.313260682172,455.074197645408,0.555,0.967,1000,10,"lognorm"
0.475,392.564519289872,405.670779780204,463.313260682172,455.074197645408,0.53,0.961,1000,10,"lognorm"
0.5,404.406436784435,405.670779780204,463.313260682172,455.074197645408,0.501,0.95,1000,10,"lognorm"
0.525,417.634026501138,405.670779780204,463.313260682172,455.074197645408,0.478,0.941,1000,10,"lognorm"
0.55,431.056239238456,405.670779780204,463.313260682172,455.074197645408,0.449,0.927,1000,10,"lognorm"
0.575,445.552045719882,405.670779780204,463.313260682172,455.074197645408,0.419,0.877,1000,10,"lognorm"
0.6,459.785421908877,405.670779780204,463.313260682172,455.074197645408,0.395,0.103,1000,10,"lognorm"
0.625,475.085494664714,405.670779780204,463.313260682172,455.074197645408,0.369,0.058,1000,10,"lognorm"
0.65,490.940859228834,405.670779780204,463.313260682172,455.074197645408,0.354,0.047,1000,10,"lognorm"
0.675,508.940651528126,405.670779780204,463.313260682172,455.074197645408,0.33,0.034,1000,10,"lognorm"
0.7,528.411058458002,405.670779780204,463.313260682172,455.074197645408,0.308,0.028,1000,10,"lognorm"
0.725,545.39420353935,405.670779780204,463.313260682172,455.074197645408,0.286,0.027,1000,10,"lognorm"
0.75,567.456645071313,405.670779780204,463.313260682172,455.074197645408,0.268,0.021,1000,10,"lognorm"
0.775,591.142219476201,405.670779780204,463.313260682172,455.074197645408,0.244,0.017,1000,10,"lognorm"
0.8,618.397003519279,405.670779780204,463.313260682172,455.074197645408,0.217,0.013,1000,10,"lognorm"
0.825,644.915792652214,405.670779780204,463.313260682172,455.074197645408,0.19,0.011,1000,10,"lognorm"
0.85,682.620675459037,405.670779780204,463.313260682172,455.074197645408,0.171,0.008,1000,10,"lognorm"
0.875,716.068668016437,405.670779780204,463.313260682172,455.074197645408,0.147,0.008,1000,10,"lognorm"
0.9,763.283022678979,405.670779780204,463.313260682172,455.074197645408,0.114,0.004,1000,10,"lognorm"
0.1,212.174976018983,391.1878059974,459.872662484548,463.981064818667,0.886,0.997,1000,10,"lognorm"
0.125,226.209690974297,391.1878059974,459.872662484548,463.981064818667,0.865,0.997,1000,10,"lognorm"
0.15,240.02010691149,391.1878059974,459.872662484548,463.981064818667,0.838,0.997,1000,10,"lognorm"
0.175,252.89186496701,391.1878059974,459.872662484548,463.981064818667,0.804,0.995,1000,10,"lognorm"
0.2,264.442361235886,391.1878059974,459.872662484548,463.981064818667,0.784,0.995,1000,10,"lognorm"
0.225,277.672298822049,391.1878059974,459.872662484548,463.981064818667,0.743,0.993,1000,10,"lognorm"
0.25,288.096964883889,391.1878059974,459.872662484548,463.981064818667,0.723,0.993,1000,10,"lognorm"
0.275,299.677280075402,391.1878059974,459.872662484548,463.981064818667,0.7,0.992,1000,10,"lognorm"
0.3,311.33354887476,391.1878059974,459.872662484548,463.981064818667,0.681,0.99,1000,10,"lognorm"
0.325,323.017454973467,391.1878059974,459.872662484548,463.981064818667,0.66,0.986,1000,10,"lognorm"
0.35,335.569342299749,391.1878059974,459.872662484548,463.981064818667,0.633,0.984,1000,10,"lognorm"
0.375,346.065653398334,391.1878059974,459.872662484548,463.981064818667,0.61,0.981,1000,10,"lognorm"
0.4,357.287354040076,391.1878059974,459.872662484548,463.981064818667,0.578,0.976,1000,10,"lognorm"
0.425,368.413672965098,391.1878059974,459.872662484548,463.981064818667,0.555,0.975,1000,10,"lognorm"
0.45,380.092793346818,391.1878059974,459.872662484548,463.981064818667,0.526,0.971,1000,10,"lognorm"
0.475,392.564519289872,391.1878059974,459.872662484548,463.981064818667,0.497,0.963,1000,10,"lognorm"
0.5,404.406436784435,391.1878059974,459.872662484548,463.981064818667,0.477,0.952,1000,10,"lognorm"
0.525,417.634026501138,391.1878059974,459.872662484548,463.981064818667,0.452,0.939,1000,10,"lognorm"
0.55,431.056239238456,391.1878059974,459.872662484548,463.981064818667,0.425,0.919,1000,10,"lognorm"
0.575,445.552045719882,391.1878059974,459.872662484548,463.981064818667,0.402,0.89,1000,10,"lognorm"
0.6,459.785421908877,391.1878059974,459.872662484548,463.981064818667,0.389,0.805,1000,10,"lognorm"
0.625,475.085494664714,391.1878059974,459.872662484548,463.981064818667,0.365,0.083,1000,10,"lognorm"
0.65,490.940859228834,391.1878059974,459.872662484548,463.981064818667,0.351,0.065,1000,10,"lognorm"
0.675,508.940651528126,391.1878059974,459.872662484548,463.981064818667,0.33,0.052,1000,10,"lognorm"
0.7,528.411058458002,391.1878059974,459.872662484548,463.981064818667,0.307,0.037,1000,10,"lognorm"
0.725,545.39420353935,391.1878059974,459.872662484548,463.981064818667,0.287,0.027,1000,10,"lognorm"
0.75,567.456645071313,391.1878059974,459.872662484548,463.981064818667,0.267,0.022,1000,10,"lognorm"
0.775,591.142219476201,391.1878059974,459.872662484548,463.981064818667,0.249,0.02,1000,10,"lognorm"
