"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.1,211.619297074373,386.959315527407,437.812403353705,439.01154243702,0.89,1,100,3,"lognorm"
0.125,225.059081077357,386.959315527407,437.812403353705,439.01154243702,0.88,1,100,3,"lognorm"
0.15,238.339934916992,386.959315527407,437.812403353705,439.01154243702,0.83,0.99,100,3,"lognorm"
0.175,250.171369324723,386.959315527407,437.812403353705,439.01154243702,0.82,0.99,100,3,"lognorm"
0.2,262.503332069321,386.959315527407,437.812403353705,439.01154243702,0.81,0.99,100,3,"lognorm"
0.225,274.780396379499,386.959315527407,437.812403353705,439.01154243702,0.78,0.99,100,3,"lognorm"
0.25,287.271127877453,386.959315527407,437.812403353705,439.01154243702,0.73,0.99,100,3,"lognorm"
0.275,298.589450166943,386.959315527407,437.812403353705,439.01154243702,0.72,0.99,100,3,"lognorm"
0.3,309.789965596329,386.959315527407,437.812403353705,439.01154243702,0.69,0.97,100,3,"lognorm"
0.325,322.032099888508,386.959315527407,437.812403353705,439.01154243702,0.68,0.97,100,3,"lognorm"
0.35,331.442913627957,386.959315527407,437.812403353705,439.01154243702,0.65,0.96,100,3,"lognorm"
0.375,342.800768713159,386.959315527407,437.812403353705,439.01154243702,0.64,0.96,100,3,"lognorm"
0.4,355.380384244077,386.959315527407,437.812403353705,439.01154243702,0.62,0.92,100,3,"lognorm"
0.425,367.332815866736,386.959315527407,437.812403353705,439.01154243702,0.53,0.88,100,3,"lognorm"
0.45,378.357239586519,386.959315527407,437.812403353705,439.01154243702,0.53,0.87,100,3,"lognorm"
0.475,391.132960807786,386.959315527407,437.812403353705,439.01154243702,0.49,0.84,100,3,"lognorm"
0.5,403.997048746915,386.959315527407,437.812403353705,439.01154243702,0.46,0.82,100,3,"lognorm"
0.525,416.583572179603,386.959315527407,437.812403353705,439.01154243702,0.43,0.82,100,3,"lognorm"
0.55,429.708609178777,386.959315527407,437.812403353705,439.01154243702,0.42,0.75,100,3,"lognorm"
0.575,443.620786514793,386.959315527407,437.812403353705,439.01154243702,0.41,0.26,100,3,"lognorm"
0.6,456.948184947568,386.959315527407,437.812403353705,439.01154243702,0.4,0.21,100,3,"lognorm"
0.625,474.66176216973,386.959315527407,437.812403353705,439.01154243702,0.38,0.17,100,3,"lognorm"
0.65,491.07319763738,386.959315527407,437.812403353705,439.01154243702,0.35,0.11,100,3,"lognorm"
0.675,506.603821405523,386.959315527407,437.812403353705,439.01154243702,0.34,0.08,100,3,"lognorm"
0.7,524.305822627083,386.959315527407,437.812403353705,439.01154243702,0.3,0.07,100,3,"lognorm"
0.725,542.572964105613,386.959315527407,437.812403353705,439.01154243702,0.27,0.05,100,3,"lognorm"
0.75,566.443674556347,386.959315527407,437.812403353705,439.01154243702,0.23,0.04,100,3,"lognorm"
0.775,590.032616093069,386.959315527407,437.812403353705,439.01154243702,0.17,0.02,100,3,"lognorm"
0.8,617.45843563006,386.959315527407,437.812403353705,439.01154243702,0.13,0.01,100,3,"lognorm"
