"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.1,213.809605031717,401.483690650257,457.932682838032,457.834465263154,0.898,0.999,1000,3,"lognorm"
0.125,226.779267421227,401.483690650257,457.932682838032,457.834465263154,0.875,0.998,1000,3,"lognorm"
0.15,240.217974552392,401.483690650257,457.932682838032,457.834465263154,0.848,0.993,1000,3,"lognorm"
0.175,252.204098229579,401.483690650257,457.932682838032,457.834465263154,0.824,0.989,1000,3,"lognorm"
0.2,265.060297733489,401.483690650257,457.932682838032,457.834465263154,0.797,0.987,1000,3,"lognorm"
0.225,276.615736374623,401.483690650257,457.932682838032,457.834465263154,0.776,0.981,1000,3,"lognorm"
0.25,288.508103973421,401.483690650257,457.932682838032,457.834465263154,0.748,0.978,1000,3,"lognorm"
0.275,298.837475992546,401.483690650257,457.932682838032,457.834465263154,0.725,0.972,1000,3,"lognorm"
0.3,310.120318385114,401.483690650257,457.932682838032,457.834465263154,0.696,0.967,1000,3,"lognorm"
0.325,321.371418409034,401.483690650257,457.932682838032,457.834465263154,0.672,0.954,1000,3,"lognorm"
0.35,331.908737959555,401.483690650257,457.932682838032,457.834465263154,0.655,0.944,1000,3,"lognorm"
0.375,342.520197679874,401.483690650257,457.932682838032,457.834465263154,0.63,0.936,1000,3,"lognorm"
0.4,354.569760938853,401.483690650257,457.932682838032,457.834465263154,0.612,0.927,1000,3,"lognorm"
0.425,365.564788214782,401.483690650257,457.932682838032,457.834465263154,0.588,0.92,1000,3,"lognorm"
0.45,377.556024626157,401.483690650257,457.932682838032,457.834465263154,0.56,0.906,1000,3,"lognorm"
0.475,388.900045150277,401.483690650257,457.932682838032,457.834465263154,0.534,0.892,1000,3,"lognorm"
0.5,402.961133464679,401.483690650257,457.932682838032,457.834465263154,0.494,0.868,1000,3,"lognorm"
0.525,415.670322829266,401.483690650257,457.932682838032,457.834465263154,0.466,0.835,1000,3,"lognorm"
0.55,429.70462157669,401.483690650257,457.932682838032,457.834465263154,0.447,0.789,1000,3,"lognorm"
0.575,444.969494524109,401.483690650257,457.932682838032,457.834465263154,0.428,0.719,1000,3,"lognorm"
0.6,460.3245559265,401.483690650257,457.932682838032,457.834465263154,0.411,0.298,1000,3,"lognorm"
0.625,474.891642362092,401.483690650257,457.932682838032,457.834465263154,0.386,0.186,1000,3,"lognorm"
0.65,490.717192863839,401.483690650257,457.932682838032,457.834465263154,0.361,0.142,1000,3,"lognorm"
0.675,507.513309631687,401.483690650257,457.932682838032,457.834465263154,0.342,0.108,1000,3,"lognorm"
0.7,525.065688720552,401.483690650257,457.932682838032,457.834465263154,0.315,0.086,1000,3,"lognorm"
0.725,542.761252243571,401.483690650257,457.932682838032,457.834465263154,0.288,0.081,1000,3,"lognorm"
0.75,562.362569312153,401.483690650257,457.932682838032,457.834465263154,0.255,0.067,1000,3,"lognorm"
0.775,585.802192142628,401.483690650257,457.932682838032,457.834465263154,0.231,0.05,1000,3,"lognorm"
0.8,612.484133343212,401.483690650257,457.932682838032,457.834465263154,0.203,0.039,1000,3,"lognorm"
0.825,640.641433706296,401.483690650257,457.932682838032,457.834465263154,0.178,0.035,1000,3,"lognorm"
0.85,675.148419694953,401.483690650257,457.932682838032,457.834465263154,0.15,0.028,1000,3,"lognorm"
0.875,717.655289680328,401.483690650257,457.932682838032,457.834465263154,0.123,0.018,1000,3,"lognorm"
0.9,769.214860565162,401.483690650257,457.932682838032,457.834465263154,0.099,0.014,1000,3,"lognorm"
0.1,213.809605031717,399.003834033496,457.339237852858,451.787596891837,0.894,0.997,1000,3,"lognorm"
0.125,226.779267421227,399.003834033496,457.339237852858,451.787596891837,0.873,0.991,1000,3,"lognorm"
0.15,240.217974552392,399.003834033496,457.339237852858,451.787596891837,0.85,0.989,1000,3,"lognorm"
0.175,252.204098229579,399.003834033496,457.339237852858,451.787596891837,0.829,0.984,1000,3,"lognorm"
0.2,265.060297733489,399.003834033496,457.339237852858,451.787596891837,0.796,0.98,1000,3,"lognorm"
0.225,276.615736374623,399.003834033496,457.339237852858,451.787596891837,0.777,0.976,1000,3,"lognorm"
0.25,288.508103973421,399.003834033496,457.339237852858,451.787596891837,0.732,0.972,1000,3,"lognorm"
0.275,298.837475992546,399.003834033496,457.339237852858,451.787596891837,0.702,0.968,1000,3,"lognorm"
0.3,310.120318385114,399.003834033496,457.339237852858,451.787596891837,0.678,0.957,1000,3,"lognorm"
0.325,321.371418409034,399.003834033496,457.339237852858,451.787596891837,0.658,0.946,1000,3,"lognorm"
0.35,331.908737959555,399.003834033496,457.339237852858,451.787596891837,0.637,0.932,1000,3,"lognorm"
0.375,342.520197679874,399.003834033496,457.339237852858,451.787596891837,0.62,0.921,1000,3,"lognorm"
0.4,354.569760938853,399.003834033496,457.339237852858,451.787596891837,0.59,0.913,1000,3,"lognorm"
