"condition","response_1","response_2","response_3"
0.3,"Less than 350","Less than 350","Less than 350"
0.3,"Less than 350","More than 350","More than 350"
0.3,"Less than 350","Less than 350","Less than 350"
0.3,"More than 350","More than 350","More than 350"
0.3,"More than 350","More than 350","More than 350"
0.3,"Less than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"Less than 350","More than 350","Less than 350"
0.4,"More than 350","Less than 350","More than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"Less than 350","More than 350","More than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,NA,"More than 350","More than 350"
0.4,NA,"More than 350","Less than 350"
0.4,NA,"More than 350","Less than 350"
0.4,NA,"More than 350","More than 350"
0.4,NA,"More than 350","More than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"Less than 350","Less than 350","More than 350"
0.4,"More than 350","Less than 350","Less than 350"
0.4,"Less than 350","More than 350","More than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,NA,NA,NA
0.4,"More than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"More than 350","More than 350","Less than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,NA,NA,NA
0.4,"More than 350","More than 350","More than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"More than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,NA,NA,NA
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"More than 350","Less than 350","Less than 350"
0.4,NA,NA,NA
0.4,NA,"More than 350","More than 350"
0.4,"More than 350","More than 350","More than 350"
